home_team,away_team,home_xg,away_xg,pred_home,pred_draw,pred_away,pred_o25,pred_btts,actual_result,actual_home_goals,actual_away_goals,actual_total,actual_o25,actual_btts,entropy,match_type
TOULOUSE,MARSEILLE,1.5396294132907848,1.2784448729766749,0.4326,0.2509,0.3165,0.5368,0.5691,A,1,3,4,1,1,1.5487691717278158,high_uncertainty
ASTON VILLA,WEST HAM,1.8003455910206043,0.7635114086889665,0.6187,0.2272,0.1541,0.4736,0.4453,D,1,1,2,0,1,1.3300830463938,balanced
CRYSTAL PALACE,MAN UNITED,1.7270552562191337,1.2446746580263746,0.4834,0.2367,0.2799,0.5662,0.584,D,0,0,0,0,0,1.5131958107754244,high_uncertainty
PARMA,ATALANTA,0.8113495489741043,2.1333408400089113,0.1233,0.1926,0.6841,0.5652,0.4927,A,1,3,4,1,1,1.2047109789884503,balanced
MONACO,STRASBOURG,1.689222051893551,1.1491952753371617,0.4951,0.2442,0.2607,0.5374,0.5571,H,3,2,5,1,1,1.5044416895143402,high_uncertainty
RB LEIPZIG,WERDER BREMEN,1.4142922689845723,1.154008026934732,0.4324,0.2633,0.3043,0.4741,0.5159,H,4,2,6,1,1,1.5522357941390668,high_uncertainty
JUVENTUS,COMO,1.8066722473086332,1.1905751615595266,0.5237,0.23,0.2463,0.5784,0.5834,H,3,0,3,1,0,1.4742762366550306,balanced
WEST HAM,TOTTENHAM,1.2029700998717214,1.567181498707827,0.2897,0.2536,0.4567,0.5149,0.5531,D,1,1,2,0,1,1.5361518619398655,high_uncertainty
M'GLADBACH,BAYERN MUNICH,1.0861754561856105,2.392654879985962,0.1525,0.1761,0.6714,0.6733,0.5916,A,0,1,1,0,0,1.2408659005090528,balanced
WERDER BREMEN,M'GLADBACH,1.4151052091513674,1.2709203344944247,0.4043,0.2628,0.3329,0.5015,0.551,D,2,2,4,1,1,1.5631461213423017,high_uncertainty
CLERMONT,PARIS SG,1.2961390302167837,1.56211265369429,0.324,0.2454,0.4306,0.5522,0.5833,D,0,0,0,0,0,1.547606322956038,high_uncertainty
UNION BERLIN,BAYERN MUNICH,0.5695704276542379,2.446004244610639,0.0694,0.1434,0.7872,0.5802,0.4023,D,2,2,4,1,1,0.9406448835096153,predictable
ATH MADRID,VALENCIA,2.6019229555463017,0.7511335092818505,0.773,0.1438,0.0832,0.6547,0.4909,H,2,1,3,1,1,0.9879323221071014,predictable
M'GLADBACH,WERDER BREMEN,2.044381308014945,1.5879128479079474,0.4822,0.2066,0.3112,0.7026,0.6861,H,4,1,5,1,1,1.5015380671126872,high_uncertainty
PISA,LAZIO,1.1753590176234439,1.100386200911295,0.3675,0.2944,0.3381,0.3962,0.4642,D,0,0,0,0,0,1.5790534860846388,high_uncertainty
LENS,TOULOUSE,1.4197055614232246,1.0177028840421205,0.4622,0.2657,0.2721,0.435,0.4812,A,0,1,1,0,0,1.5336183623837452,high_uncertainty
CAGLIARI,EMPOLI,1.454734477433635,0.8832256155366165,0.4968,0.2726,0.2306,0.4199,0.4553,A,0,2,2,0,0,1.5006387789279159,high_uncertainty
RB LEIPZIG,BAYERN MUNICH,1.4233721304095004,1.29867241088098,0.3975,0.2566,0.3459,0.5132,0.5566,D,2,2,4,1,1,1.5623866063052567,high_uncertainty
LILLE,AUXERRE,1.900093683488128,1.036753292229974,0.5731,0.2214,0.2055,0.5635,0.547,H,3,1,4,1,1,1.4109989185192267,balanced
ASTON VILLA,LIVERPOOL,1.152819511195143,2.0796024343100568,0.2071,0.2067,0.5862,0.6252,0.5879,D,3,3,6,1,1,1.3922525157303323,balanced
LIVERPOOL,EVERTON,3.022495385387042,1.0060262385331413,0.778,0.1302,0.0918,0.7714,0.6167,H,1,0,1,0,0,0.9809871757442707,predictable
LAZIO,TORINO,1.7990592334910314,0.7385432722456138,0.6144,0.2386,0.147,0.4658,0.4472,D,3,3,6,1,1,1.331653885478902,balanced
M'GLADBACH,FC KOLN,1.9191493687567605,0.9540545940757034,0.6001,0.2211,0.1788,0.5498,0.5286,D,3,3,6,1,1,1.3675584657271407,balanced
