feature,importance
home__rolling_max_source_date_3,1866.3333333333333
away__rolling_max_source_date_3,1771.3333333333333
away__std_max_source_date,587.0
abs_form_gap,543.3333333333334
abs_std_goals_scored_gap,532.3333333333334
std_goals_scored_gap,532.0
home_rolling_shots_for_20,529.3333333333334
abs_dominance_gap,520.6666666666666
std_goals_conceded_gap,517.0
home_std_corners_conceded,508.3333333333333
abs_std_goals_conceded_gap,487.0
home_std_goals_conceded,487.0
away_std_corners_conceded,479.0
abs_shot_dominance_gap,476.6666666666667
away_std_corners_scored,465.6666666666667
abs_territorial_imbalance,464.0
home_rolling_corners_conceded_20,458.3333333333333
away_rolling_cards_against_20,452.0
away_std_goals_conceded,437.0
away_rolling_shots_against_20,430.6666666666667
home_rolling_corners_scored_20,428.6666666666667
home_shot_defense_strength,425.0
referee_card_rate_10,420.0
home_corner_attack_strength,418.0
home_std_corners_scored,417.3333333333333
home_std_goals_scored,410.3333333333333
home_rolling_shots_on_target_against_20,409.0
away_rolling_cards_for_20,407.3333333333333
home_rolling_shots_against_20,405.3333333333333
home_form_rating,403.6666666666667
away_rolling_shots_for_10,403.3333333333333
home_rolling_shots_on_target_for_20,400.3333333333333
home_discipline_defense_strength,392.6666666666667
away_rolling_shots_for_20,389.3333333333333
home_rolling_shots_for_10,387.3333333333333
away_rolling_shots_for_3,386.6666666666667
home_rolling_cards_against_20,385.3333333333333
form_gap,385.3333333333333
home__std_max_source_date,385.3333333333333
away_rolling_shots_on_target_against_20,385.0
away_std_goals_scored,380.6666666666667
away_goal_dominance_5,378.6666666666667
dominance_gap,371.6666666666667
home_goal_dominance_5,366.3333333333333
home_rolling_cards_for_20,361.6666666666667
away_rolling_cards_against_10,361.0
home_rolling_shots_against_10,356.0
away_rolling_shots_on_target_for_20,355.0
away_rolling_corners_conceded_20,351.3333333333333
home_discipline_attack_strength,349.6666666666667
away_rolling_shots_against_5,345.0
away_form_rating,342.3333333333333
home_shot_attack_strength,333.6666666666667
away_rolling_corners_scored_20,332.0
away_rolling_shots_on_target_against_10,331.3333333333333
away_rolling_shots_against_3,329.0
territorial_imbalance,326.3333333333333
home_corner_defense_strength,322.0
home_rolling_corners_scored_3,316.3333333333333
away_pressure_index_5,313.6666666666667
away_rolling_shots_on_target_for_10,312.6666666666667
away_rolling_corners_conceded_10,312.0
home_rolling_shots_against_3,309.3333333333333
home_rolling_corners_conceded_10,302.3333333333333
home_rolling_corners_scored_10,297.3333333333333
home_rolling_goals_scored_20,295.0
home_goal_attack_strength,292.6666666666667
home_goal_defense_strength,292.3333333333333
away_rolling_corners_scored_10,291.6666666666667
season_gd_gap,290.6666666666667
