feature,importance
home_form_rating,2652.3333333333335
away_form_rating,2530.0
home_rolling_corners_conceded_10,2328.0
home_rolling_corners_scored_10,2198.6666666666665
away_rolling_corners_conceded_10,1915.3333333333333
away_rolling_corners_scored_10,1799.6666666666667
away_rolling_goals_conceded_10,1665.0
home_rolling_corners_conceded_5,1648.3333333333333
home_rolling_corners_scored_5,1601.6666666666667
home_rolling_goals_conceded_10,1577.3333333333333
away_rolling_corners_conceded_5,1574.3333333333333
away_rolling_goals_scored_10,1524.0
away_rolling_corners_scored_5,1501.6666666666667
home_rolling_corners_scored_3,1474.3333333333333
home_rolling_corners_conceded_3,1449.3333333333333
home_rolling_goals_scored_10,1407.6666666666667
away_rolling_corners_conceded_3,1375.3333333333333
away_rolling_corners_scored_3,1324.3333333333333
away_rolling_goals_scored_5,1169.6666666666667
home_rolling_goals_conceded_5,1135.6666666666667
home_rolling_goals_scored_5,1053.3333333333333
away_rolling_goals_conceded_5,1051.6666666666667
home_rolling_goals_scored_3,943.3333333333334
home_rolling_goals_conceded_3,883.0
away_rolling_goals_scored_3,867.6666666666666
away_rolling_goals_conceded_3,782.0
home_team_availability_pct,0.0
away_team_availability_pct,0.0
precipitation_mm,0.0
wind_speed_kmh,0.0
