feature,importance
away_form_rating,2163.3333333333335
home_form_rating,1909.6666666666667
away_rolling_corners_conceded_10,1604.6666666666667
home_rolling_corners_scored_10,1550.0
home_rolling_corners_conceded_10,1494.0
away_rolling_corners_scored_10,1455.0
away_rolling_corners_scored_5,1298.3333333333333
home_rolling_corners_scored_5,1201.6666666666667
away_rolling_corners_conceded_5,1164.3333333333333
away_rolling_goals_conceded_10,1138.3333333333333
away_rolling_corners_scored_3,1097.6666666666667
home_rolling_corners_conceded_5,1077.6666666666667
home_rolling_goals_scored_10,1071.3333333333333
away_rolling_corners_conceded_3,1043.0
home_rolling_goals_conceded_10,1029.3333333333333
home_rolling_corners_conceded_3,994.3333333333334
home_rolling_corners_scored_3,871.6666666666666
away_rolling_goals_scored_10,863.3333333333334
home_rolling_goals_conceded_5,816.3333333333334
home_rolling_goals_scored_5,809.6666666666666
away_rolling_goals_scored_5,743.6666666666666
away_rolling_goals_scored_3,729.0
away_rolling_goals_conceded_3,720.6666666666666
home_rolling_goals_conceded_3,695.0
home_rolling_goals_scored_3,692.6666666666666
away_rolling_goals_conceded_5,686.0
home_team_availability_pct,0.0
away_team_availability_pct,0.0
precipitation_mm,0.0
wind_speed_kmh,0.0
