feature,importance
home_form_rating,2193.0
away_form_rating,1899.3333333333333
home_rolling_corners_conceded_10,1675.3333333333333
away_rolling_corners_scored_10,1472.6666666666667
home_rolling_corners_scored_10,1381.0
away_rolling_corners_conceded_10,1344.0
home_rolling_corners_conceded_5,1242.0
home_rolling_goals_scored_10,1105.3333333333333
away_rolling_corners_conceded_5,1101.0
home_rolling_corners_scored_5,1093.3333333333333
away_rolling_corners_scored_3,1019.3333333333334
away_rolling_corners_scored_5,1009.3333333333334
home_rolling_corners_scored_3,993.0
home_rolling_goals_conceded_10,977.3333333333334
home_rolling_corners_conceded_3,957.3333333333334
away_rolling_goals_scored_10,916.0
away_rolling_goals_conceded_10,912.3333333333334
away_rolling_corners_conceded_3,903.6666666666666
home_rolling_goals_conceded_5,727.0
away_rolling_goals_scored_5,719.3333333333334
home_rolling_goals_conceded_3,659.3333333333334
home_rolling_goals_scored_3,651.3333333333334
away_rolling_goals_conceded_5,625.6666666666666
home_rolling_goals_scored_5,577.6666666666666
away_rolling_goals_conceded_3,546.0
away_rolling_goals_scored_3,533.6666666666666
home_team_availability_pct,0.0
away_team_availability_pct,0.0
precipitation_mm,0.0
wind_speed_kmh,0.0
