feature,importance
home_form_rating,2072.6666666666665
away_form_rating,1888.0
home_rolling_corners_scored_10,1368.6666666666667
away_rolling_corners_conceded_10,1344.6666666666667
away_rolling_corners_scored_10,1285.6666666666667
home_rolling_corners_conceded_10,1240.6666666666667
home_rolling_corners_conceded_5,1177.0
home_rolling_corners_scored_5,1151.6666666666667
away_rolling_corners_scored_3,1149.0
away_rolling_corners_conceded_3,1125.3333333333333
away_rolling_goals_scored_10,1020.3333333333334
home_rolling_corners_conceded_3,990.0
away_rolling_corners_conceded_5,954.0
home_rolling_goals_scored_10,950.0
away_rolling_goals_conceded_10,949.0
away_rolling_corners_scored_5,942.6666666666666
home_rolling_goals_conceded_10,932.0
home_rolling_corners_scored_3,851.6666666666666
home_rolling_goals_scored_3,808.0
home_rolling_goals_conceded_5,769.3333333333334
home_rolling_goals_scored_5,764.3333333333334
away_rolling_goals_scored_3,739.6666666666666
away_rolling_goals_scored_5,713.3333333333334
home_rolling_goals_conceded_3,691.3333333333334
away_rolling_goals_conceded_5,647.3333333333334
away_rolling_goals_conceded_3,598.0
home_team_availability_pct,0.0
away_team_availability_pct,0.0
precipitation_mm,0.0
wind_speed_kmh,0.0
