feature,importance
away_form_rating,1860.3333333333333
home_form_rating,1837.3333333333333
away_rolling_corners_scored_10,1558.0
away_rolling_corners_conceded_10,1534.3333333333333
home_rolling_corners_conceded_10,1411.3333333333333
home_rolling_corners_scored_10,1345.6666666666667
home_rolling_corners_scored_5,1199.0
away_rolling_corners_scored_5,1133.3333333333333
away_rolling_goals_conceded_10,1123.6666666666667
away_rolling_corners_scored_3,1122.6666666666667
away_rolling_corners_conceded_3,1076.3333333333333
home_rolling_corners_conceded_5,1063.3333333333333
away_rolling_corners_conceded_5,1011.3333333333334
away_rolling_goals_scored_10,960.3333333333334
home_rolling_corners_conceded_3,957.0
home_rolling_corners_scored_3,920.0
home_rolling_goals_conceded_10,887.3333333333334
home_rolling_goals_scored_10,849.0
away_rolling_goals_conceded_5,721.0
home_rolling_goals_conceded_5,718.3333333333334
away_rolling_goals_scored_5,712.0
home_rolling_goals_conceded_3,669.0
away_rolling_goals_conceded_3,613.3333333333334
home_rolling_goals_scored_3,613.0
home_rolling_goals_scored_5,569.3333333333334
away_rolling_goals_scored_3,545.6666666666666
home_team_availability_pct,0.0
away_team_availability_pct,0.0
precipitation_mm,0.0
wind_speed_kmh,0.0
